year,nuts_id,nuts_year_spec,mean_ref_stem
2014,UKH1,2016,3.349137135165897
2014,UKJ1,2016,3.2632863170584683
2014,UKI3,2016,3.2450659235472115
2014,UKL2,2016,3.1523675413289367
2014,UKK1,2016,3.1509360484512543
2014,UKM7,2016,3.1386746555485
2014,UKJ3,2016,3.1345131560757564
2014,UKE3,2016,3.1222986158384387
2014,UKE2,2016,3.1178573233386677
2014,UKC1,2016,3.0961584558127795
2014,UKD3,2016,3.08562044000449
2014,UKG3,2016,3.0748130193905814
2014,UKD7,2016,3.0430834591089493
2014,UKM8,2016,3.0312496473111006
2014,UKF1,2016,3.0130016811612936
2014,UKE4,2016,2.997668105550237
2014,UKK4,2016,2.996597199705232
2014,UKD4,2016,2.9819029240828185
2014,UKJ2,2016,2.97793178592135
2014,UKM5,2016,2.9670493250450587
2014,UKC2,2016,2.949981060606061
2014,UKN0,2016,2.94523489010989
2014,UKL1,2016,2.9240566327313653
2014,UKI4,2016,2.9204323856880343
2014,UKM6,2016,2.91
2014,UKF2,2016,2.849285909115705
2014,UKJ4,2016,2.8405342352291547
2014,UKE1,2016,2.8299068901303537
2014,UKH2,2016,2.826972833117723
2014,UKG2,2016,2.66810989010989
2014,UKI7,2016,2.5924315922784658
2014,UKF3,2016,2.5492592592592596
2014,UKH3,2016,2.5125259304453937
2014,UKI5,2016,2.4710314875135726
2014,UKI6,2016,2.4422314049586777
2014,UKK2,2016,2.31
2014,UKG1,2016,2.24
2014,UKD6,2016,1.7646511627906976
