year,nuts_id,nuts_year_spec,epo_patent_applications
2012,UKC11,2010,5.0
2012,UKC12,2010,7.0
2012,UKC13,2010,4.0
2012,UKC14,2010,24.0
2012,UKC21,2010,13.0
2012,UKC22,2010,63.0
2012,UKC23,2010,7.0
2012,UKD11,2010,5.0
2012,UKD12,2010,13.0
2012,UKD31,2010,63.0
2012,UKD32,2010,35.0
2012,UKD41,2010,3.0
2012,UKD42,2010,
2012,UKD43,2010,28.0
2012,UKD61,2010,9.0
2012,UKD62,2010,27.0
2012,UKD63,2010,16.0
2012,UKD71,2010,19.0
2012,UKD72,2010,9.0
2012,UKD73,2010,2.0
2012,UKD74,2010,43.0
2012,UKE11,2010,6.0
2012,UKE12,2010,7.0
2012,UKE13,2010,1.0
2012,UKE21,2010,20.0
2012,UKE22,2010,22.0
2012,UKE31,2010,10.0
2012,UKE32,2010,27.0
2012,UKE41,2010,26.0
2012,UKE42,2010,35.0
2012,UKE44,2010,20.0
2012,UKE45,2010,8.0
2012,UKF11,2010,40.0
2012,UKF12,2010,7.0
2012,UKF13,2010,35.0
2012,UKF14,2010,24.0
2012,UKF15,2010,11.0
2012,UKF16,2010,22.0
2012,UKF21,2010,11.0
2012,UKF22,2010,68.0
2012,UKF24,2010,9.0
2012,UKF25,2010,9.0
2012,UKF30,2010,47.0
2012,UKG11,2010,4.0
2012,UKG12,2010,35.0
2012,UKG13,2010,38.0
2012,UKG21,2010,2.0
2012,UKG22,2010,7.0
2012,UKG23,2010,3.0
2012,UKG24,2010,63.0
2012,UKG31,2010,36.0
2012,UKG32,2010,8.0
2012,UKG33,2010,108.0
2012,UKG36,2010,9.0
2012,UKG37,2010,4.0
2012,UKG38,2010,5.0
2012,UKG39,2010,3.0
2012,UKH11,2010,18.0
2012,UKH12,2010,229.0
2012,UKH13,2010,29.0
2012,UKH14,2010,30.0
2012,UKH21,2010,1.0
2012,UKH23,2010,106.0
2012,UKH24,2010,25.0
2012,UKH25,2010,22.0
2012,UKH31,2010,0.0
2012,UKH32,2010,1.0
2012,UKH33,2010,63.0
2012,UKI11,2010,217.0
2012,UKI12,2010,75.0
2012,UKI21,2010,24.0
2012,UKI22,2010,35.0
2012,UKI23,2010,104.0
2012,UKJ11,2010,134.0
2012,UKJ12,2010,13.0
2012,UKJ13,2010,33.0
2012,UKJ14,2010,186.0
2012,UKJ21,2010,12.0
2012,UKJ22,2010,17.0
2012,UKJ23,2010,257.0
2012,UKJ24,2010,61.0
2012,UKJ31,2010,4.0
2012,UKJ32,2010,27.0
2012,UKJ33,2010,137.0
2012,UKJ34,2010,8.0
2012,UKJ41,2010,13.0
2012,UKJ42,2010,36.0
2012,UKK11,2010,82.0
2012,UKK12,2010,88.0
2012,UKK13,2010,60.0
2012,UKK14,2010,41.0
2012,UKK15,2010,115.0
2012,UKK21,2010,20.0
2012,UKK22,2010,23.0
2012,UKK23,2010,13.0
2012,UKK30,2010,16.0
2012,UKK41,2010,5.0
2012,UKK42,2010,2.0
2012,UKK43,2010,19.0
2012,UKL11,2010,1.0
2012,UKL12,2010,6.0
2012,UKL13,2010,3.0
2012,UKL14,2010,19.0
2012,UKL15,2010,2.0
2012,UKL16,2010,20.0
2012,UKL17,2010,2.0
2012,UKL18,2010,6.0
2012,UKL21,2010,8.0
2012,UKL22,2010,14.0
2012,UKL23,2010,16.0
2012,UKL24,2010,5.0
2012,UKM21,2010,16.0
2012,UKM22,2010,29.0
2012,UKM23,2010,15.0
2012,UKM24,2010,5.0
2012,UKM25,2010,30.0
2012,UKM26,2010,6.0
2012,UKM27,2010,4.0
2012,UKM28,2010,4.0
2012,UKM31,2010,2.0
2012,UKM32,2010,0.0
2012,UKM33,2010,0.0
2012,UKM34,2010,27.0
2012,UKM35,2010,6.0
2012,UKM36,2010,4.0
2012,UKM37,2010,4.0
2012,UKM38,2010,5.0
2012,UKM50,2010,79.0
2012,UKM61,2010,1.0
2012,UKM62,2010,12.0
2012,UKM63,2010,2.0
2012,UKM64,2010,
2012,UKM65,2010,
2012,UKM66,2010,
2012,UKN01,2010,5.0
2012,UKN02,2010,13.0
2012,UKN03,2010,17.0
2012,UKN04,2010,7.0
2012,UKN05,2010,21.0
2012,UKZZZ,2010,13.0
2011,UKC11,2010,16.0
2011,UKC12,2010,13.0
2011,UKC13,2010,5.0
2011,UKC14,2010,60.0
2011,UKC21,2010,35.0
2011,UKC22,2010,52.0
2011,UKC23,2010,4.0
2011,UKD11,2010,10.0
2011,UKD12,2010,10.0
2011,UKD31,2010,91.0
2011,UKD32,2010,35.0
2011,UKD41,2010,8.0
2011,UKD42,2010,0.0
2011,UKD43,2010,51.0
2011,UKD61,2010,13.0
2011,UKD62,2010,54.0
2011,UKD63,2010,28.0
2011,UKD71,2010,27.0
2011,UKD72,2010,20.0
2011,UKD73,2010,1.0
2011,UKD74,2010,77.0
2011,UKE11,2010,23.0
2011,UKE12,2010,13.0
2011,UKE13,2010,4.0
2011,UKE21,2010,22.0
2011,UKE22,2010,41.0
2011,UKE31,2010,14.0
2011,UKE32,2010,37.0
2011,UKE41,2010,35.0
2011,UKE42,2010,38.0
2011,UKE44,2010,22.0
2011,UKE45,2010,6.0
2011,UKF11,2010,110.0
2011,UKF12,2010,10.0
2011,UKF13,2010,85.0
2011,UKF14,2010,42.0
2011,UKF15,2010,16.0
2011,UKF16,2010,35.0
2011,UKF21,2010,7.0
2011,UKF22,2010,77.0
2011,UKF24,2010,18.0
2011,UKF25,2010,8.0
2011,UKF30,2010,47.0
2011,UKG11,2010,7.0
2011,UKG12,2010,35.0
2011,UKG13,2010,86.0
2011,UKG21,2010,1.0
2011,UKG22,2010,8.0
2011,UKG23,2010,4.0
2011,UKG24,2010,55.0
2011,UKG31,2010,37.0
2011,UKG32,2010,15.0
2011,UKG33,2010,83.0
2011,UKG36,2010,10.0
2011,UKG37,2010,2.0
2011,UKG38,2010,2.0
2011,UKG39,2010,7.0
2011,UKH11,2010,11.0
2011,UKH12,2010,316.0
2011,UKH13,2010,28.0
2011,UKH14,2010,32.0
2011,UKH21,2010,3.0
2011,UKH23,2010,124.0
2011,UKH24,2010,25.0
2011,UKH25,2010,27.0
2011,UKH31,2010,1.0
2011,UKH32,2010,0.0
2011,UKH33,2010,86.0
2011,UKI11,2010,261.0
2011,UKI12,2010,95.0
2011,UKI21,2010,16.0
2011,UKI22,2010,43.0
2011,UKI23,2010,91.0
2011,UKJ11,2010,197.0
2011,UKJ12,2010,9.0
2011,UKJ13,2010,46.0
2011,UKJ14,2010,251.0
2011,UKJ21,2010,12.0
2011,UKJ22,2010,21.0
2011,UKJ23,2010,291.0
2011,UKJ24,2010,52.0
2011,UKJ31,2010,12.0
2011,UKJ32,2010,25.0
2011,UKJ33,2010,162.0
2011,UKJ34,2010,11.0
2011,UKJ41,2010,23.0
2011,UKJ42,2010,58.0
2011,UKK11,2010,125.0
2011,UKK12,2010,102.0
2011,UKK13,2010,52.0
2011,UKK14,2010,44.0
2011,UKK15,2010,124.0
2011,UKK21,2010,24.0
2011,UKK22,2010,32.0
2011,UKK23,2010,22.0
2011,UKK30,2010,25.0
2011,UKK41,2010,3.0
2011,UKK42,2010,2.0
2011,UKK43,2010,13.0
2011,UKL11,2010,0.0
2011,UKL12,2010,3.0
2011,UKL13,2010,13.0
2011,UKL14,2010,6.0
2011,UKL15,2010,3.0
2011,UKL16,2010,19.0
2011,UKL17,2010,7.0
2011,UKL18,2010,12.0
2011,UKL21,2010,16.0
2011,UKL22,2010,35.0
2011,UKL23,2010,20.0
2011,UKL24,2010,4.0
2011,UKM21,2010,17.0
2011,UKM22,2010,35.0
2011,UKM23,2010,23.0
2011,UKM24,2010,5.0
2011,UKM25,2010,50.0
2011,UKM26,2010,4.0
2011,UKM27,2010,9.0
2011,UKM28,2010,12.0
2011,UKM31,2010,8.0
2011,UKM32,2010,0.0
2011,UKM33,2010,2.0
2011,UKM34,2010,26.0
2011,UKM35,2010,13.0
2011,UKM36,2010,3.0
2011,UKM37,2010,1.0
2011,UKM38,2010,7.0
2011,UKM50,2010,84.0
2011,UKM61,2010,4.0
2011,UKM62,2010,8.0
2011,UKM63,2010,2.0
2011,UKM64,2010,
2011,UKM65,2010,0.0
2011,UKM66,2010,1.0
2011,UKN01,2010,8.0
2011,UKN02,2010,13.0
2011,UKN03,2010,11.0
2011,UKN04,2010,10.0
2011,UKN05,2010,14.0
2011,UKZZZ,2010,28.0
2010,UKC11,2010,11.0
2010,UKC12,2010,11.0
2010,UKC13,2010,2.0
2010,UKC14,2010,29.0
2010,UKC21,2010,22.0
2010,UKC22,2010,44.0
2010,UKC23,2010,8.0
2010,UKD11,2010,10.0
2010,UKD12,2010,11.0
2010,UKD31,2010,86.0
2010,UKD32,2010,27.0
2010,UKD41,2010,3.0
2010,UKD42,2010,1.0
2010,UKD43,2010,31.0
2010,UKD61,2010,9.0
2010,UKD62,2010,65.0
2010,UKD63,2010,33.0
2010,UKD71,2010,33.0
2010,UKD72,2010,17.0
2010,UKD73,2010,3.0
2010,UKD74,2010,76.0
2010,UKE11,2010,13.0
2010,UKE12,2010,10.0
2010,UKE13,2010,5.0
2010,UKE21,2010,22.0
2010,UKE22,2010,39.0
2010,UKE31,2010,22.0
2010,UKE32,2010,33.0
2010,UKE41,2010,35.0
2010,UKE42,2010,42.0
2010,UKE44,2010,23.0
2010,UKE45,2010,10.0
2010,UKF11,2010,59.0
2010,UKF12,2010,8.0
2010,UKF13,2010,63.0
2010,UKF14,2010,31.0
2010,UKF15,2010,17.0
2010,UKF16,2010,17.0
2010,UKF21,2010,9.0
2010,UKF22,2010,61.0
2010,UKF24,2010,28.0
2010,UKF25,2010,7.0
2010,UKF30,2010,62.0
2010,UKG11,2010,5.0
2010,UKG12,2010,55.0
2010,UKG13,2010,113.0
2010,UKG21,2010,11.0
2010,UKG22,2010,9.0
2010,UKG23,2010,2.0
2010,UKG24,2010,62.0
2010,UKG31,2010,38.0
2010,UKG32,2010,16.0
2010,UKG33,2010,54.0
2010,UKG36,2010,13.0
2010,UKG37,2010,1.0
2010,UKG38,2010,7.0
2010,UKG39,2010,9.0
2010,UKH11,2010,5.0
2010,UKH12,2010,313.0
2010,UKH13,2010,37.0
2010,UKH14,2010,31.0
2010,UKH21,2010,5.0
2010,UKH23,2010,146.0
2010,UKH24,2010,34.0
2010,UKH25,2010,20.0
2010,UKH31,2010,5.0
2010,UKH32,2010,3.0
2010,UKH33,2010,103.0
2010,UKI11,2010,231.0
2010,UKI12,2010,84.0
2010,UKI21,2010,23.0
2010,UKI22,2010,39.0
2010,UKI23,2010,119.0
2010,UKJ11,2010,196.0
2010,UKJ12,2010,9.0
2010,UKJ13,2010,73.0
2010,UKJ14,2010,183.0
2010,UKJ21,2010,12.0
2010,UKJ22,2010,25.0
2010,UKJ23,2010,320.0
2010,UKJ24,2010,78.0
2010,UKJ31,2010,2.0
2010,UKJ32,2010,23.0
2010,UKJ33,2010,194.0
2010,UKJ34,2010,19.0
2010,UKJ41,2010,18.0
2010,UKJ42,2010,59.0
2010,UKK11,2010,83.0
2010,UKK12,2010,103.0
2010,UKK13,2010,66.0
2010,UKK14,2010,30.0
2010,UKK15,2010,126.0
2010,UKK21,2010,12.0
2010,UKK22,2010,28.0
2010,UKK23,2010,21.0
2010,UKK30,2010,12.0
2010,UKK41,2010,13.0
2010,UKK42,2010,2.0
2010,UKK43,2010,27.0
2010,UKL11,2010,1.0
2010,UKL12,2010,7.0
2010,UKL13,2010,7.0
2010,UKL14,2010,6.0
2010,UKL15,2010,4.0
2010,UKL16,2010,8.0
2010,UKL17,2010,4.0
2010,UKL18,2010,7.0
2010,UKL21,2010,12.0
2010,UKL22,2010,28.0
2010,UKL23,2010,17.0
2010,UKL24,2010,8.0
2010,UKM21,2010,20.0
2010,UKM22,2010,41.0
2010,UKM23,2010,10.0
2010,UKM24,2010,6.0
2010,UKM25,2010,58.0
2010,UKM26,2010,0.0
2010,UKM27,2010,10.0
2010,UKM28,2010,8.0
2010,UKM31,2010,4.0
2010,UKM32,2010,1.0
2010,UKM33,2010,2.0
2010,UKM34,2010,21.0
2010,UKM35,2010,11.0
2010,UKM36,2010,6.0
2010,UKM37,2010,4.0
2010,UKM38,2010,9.0
2010,UKM50,2010,89.0
2010,UKM61,2010,4.0
2010,UKM62,2010,15.0
2010,UKM63,2010,1.0
2010,UKM64,2010,0.0
2010,UKM65,2010,0.0
2010,UKM66,2010,
2010,UKN01,2010,7.0
2010,UKN02,2010,11.0
2010,UKN03,2010,15.0
2010,UKN04,2010,1.0
2010,UKN05,2010,9.0
2010,UKZZZ,2010,29.0
2009,UKC11,2010,13.0
2009,UKC12,2010,13.0
2009,UKC13,2010,5.0
2009,UKC14,2010,34.0
2009,UKC21,2010,41.0
2009,UKC22,2010,63.0
2009,UKC23,2010,6.0
2009,UKD11,2010,10.0
2009,UKD12,2010,6.0
2009,UKD31,2010,72.0
2009,UKD32,2010,26.0
2009,UKD41,2010,12.0
2009,UKD42,2010,
2009,UKD43,2010,54.0
2009,UKD61,2010,6.0
2009,UKD62,2010,48.0
2009,UKD63,2010,43.0
2009,UKD71,2010,25.0
2009,UKD72,2010,24.0
2009,UKD73,2010,5.0
2009,UKD74,2010,45.0
2009,UKE11,2010,10.0
2009,UKE12,2010,12.0
2009,UKE13,2010,3.0
2009,UKE21,2010,19.0
2009,UKE22,2010,38.0
2009,UKE31,2010,9.0
2009,UKE32,2010,27.0
2009,UKE41,2010,20.0
2009,UKE42,2010,46.0
2009,UKE44,2010,29.0
2009,UKE45,2010,5.0
2009,UKF11,2010,70.0
2009,UKF12,2010,16.0
2009,UKF13,2010,52.0
2009,UKF14,2010,28.0
2009,UKF15,2010,15.0
2009,UKF16,2010,30.0
2009,UKF21,2010,15.0
2009,UKF22,2010,66.0
2009,UKF24,2010,20.0
2009,UKF25,2010,7.0
2009,UKF30,2010,44.0
