year,lep_id,lep_year_spec,ce_cpd_income
2014,E37000001,2014,619000.0
2014,E37000002,2014,2383000.0
2014,E37000003,2014,3718000.0
2014,E37000004,2014,6074000.0
2014,E37000005,2014,28000.0
2014,E37000006,2014,23915000.0
2014,E37000007,2014,4170000.0
2014,E37000008,2014,18117000.0
2014,E37000009,2014,3982000.0
2014,E37000010,2014,5129000.0
2014,E37000011,2014,867000.0
2014,E37000012,2014,16872000.0
2014,E37000013,2014,19603000.0
2014,E37000014,2014,10357000.0
2014,E37000015,2014,32680000.0
2014,E37000016,2014,1974000.0
2014,E37000017,2014,5777000.0
2014,E37000018,2014,2853000.0
2014,E37000019,2014,14925000.0
2014,E37000020,2014,19493000.0
2014,E37000021,2014,21507000.0
2014,E37000022,2014,6952000.0
2014,E37000023,2014,181621000.0
2014,E37000024,2014,6073000.0
2014,E37000025,2014,12450000.0
2014,E37000026,2014,2384000.0
2014,E37000027,2014,28420000.0
2014,E37000029,2014,25434000.0
2014,E37000030,2014,28314000.0
2014,E37000031,2014,37556000.0
2014,E37000032,2014,6531000.0
2014,E37000034,2014,7290000.0
2014,E37000035,2014,9443000.0
2014,E37000036,2014,1079000.0
2014,E37000037,2014,12876000.0
2014,E37000038,2014,1154000.0
2014,E37000039,2014,7852000.0
2014,E37000040,2014,7789000.0
2015,E37000001,2014,1029000.0
2015,E37000002,2014,1984000.0
2015,E37000003,2014,3795000.0
2015,E37000004,2014,5857000.0
2015,E37000005,2014,30000.0
2015,E37000006,2014,17527000.0
2015,E37000007,2014,4433000.0
2015,E37000008,2014,14562000.0
2015,E37000009,2014,4881000.0
2015,E37000010,2014,5375000.0
2015,E37000011,2014,923000.0
2015,E37000012,2014,17727000.0
2015,E37000013,2014,19061000.0
2015,E37000014,2014,10417000.0
2015,E37000015,2014,32243000.0
2015,E37000016,2014,2321000.0
2015,E37000017,2014,6053000.0
2015,E37000018,2014,2496000.0
2015,E37000019,2014,15840000.0
2015,E37000020,2014,18030000.0
2015,E37000021,2014,18003000.0
2015,E37000022,2014,5885000.0
2015,E37000023,2014,185286000.0
2015,E37000024,2014,6248000.0
2015,E37000025,2014,12327000.0
2015,E37000026,2014,1189000.0
2015,E37000027,2014,21947000.0
2015,E37000029,2014,24190000.0
2015,E37000030,2014,26578000.0
2015,E37000031,2014,35294000.0
2015,E37000032,2014,6248000.0
2015,E37000034,2014,6738000.0
2015,E37000035,2014,8732000.0
2015,E37000036,2014,1137000.0
2015,E37000037,2014,12035000.0
2015,E37000038,2014,722000.0
2015,E37000039,2014,6912000.0
2015,E37000040,2014,7417000.0
2016,E37000001,2014,788000.0
2016,E37000002,2014,2299000.0
2016,E37000003,2014,3839000.0
2016,E37000004,2014,4933000.0
2016,E37000005,2014,45000.0
2016,E37000006,2014,16206000.0
2016,E37000007,2014,4525000.0
2016,E37000008,2014,15688000.0
2016,E37000009,2014,5628000.0
2016,E37000010,2014,4687000.0
2016,E37000011,2014,843000.0
2016,E37000012,2014,16748000.0
2016,E37000013,2014,19460000.0
2016,E37000014,2014,9794000.0
2016,E37000015,2014,30480000.0
2016,E37000016,2014,2986000.0
2016,E37000017,2014,5142000.0
2016,E37000018,2014,1921000.0
2016,E37000019,2014,13879000.0
2016,E37000020,2014,15778000.0
2016,E37000021,2014,16044000.0
2016,E37000022,2014,8402000.0
2016,E37000023,2014,202202000.0
2016,E37000024,2014,5073000.0
2016,E37000025,2014,13310000.0
2016,E37000026,2014,927000.0
2016,E37000027,2014,17187000.0
2016,E37000029,2014,23832000.0
2016,E37000030,2014,26562000.0
2016,E37000031,2014,37233000.0
2016,E37000032,2014,6814000.0
2016,E37000034,2014,6796000.0
2016,E37000035,2014,9415000.0
2016,E37000036,2014,1426000.0
2016,E37000037,2014,12642000.0
2016,E37000038,2014,861000.0
2016,E37000039,2014,6749000.0
2016,E37000040,2014,6316000.0
2017,E37000001,2017,801000.0
2017,E37000002,2017,2262000.0
2017,E37000003,2017,2879000.0
2017,E37000004,2017,4468000.0
2017,E37000005,2017,39000.0
2017,E37000006,2017,17879000.0
2017,E37000007,2017,4894000.0
2017,E37000008,2017,17220000.0
2017,E37000009,2017,5198000.0
2017,E37000010,2017,4214000.0
2017,E37000011,2017,956000.0
2017,E37000012,2017,15854000.0
2017,E37000014,2017,8379000.0
2017,E37000015,2017,33830000.0
2017,E37000016,2017,2752000.0
2017,E37000017,2017,4030000.0
2017,E37000018,2017,1136000.0
2017,E37000019,2017,12858000.0
2017,E37000020,2017,17557000.0
2017,E37000021,2017,16833000.0
2017,E37000022,2017,7243000.0
2017,E37000023,2017,206193000.0
2017,E37000024,2017,5853000.0
2017,E37000025,2017,12823000.0
2017,E37000027,2017,27505000.0
2017,E37000029,2017,24330000.0
2017,E37000030,2017,25865000.0
2017,E37000032,2017,6703000.0
2017,E37000034,2017,5873000.0
2017,E37000035,2017,9917000.0
2017,E37000036,2017,1107000.0
2017,E37000037,2017,12780000.0
2017,E37000038,2017,831000.0
2017,E37000039,2017,6599000.0
2017,E37000040,2017,4904000.0
2017,E37000041,2017,37394000.0
2017,E37000042,2017,17328000.0
2018,E37000001,2017,712000.0
2018,E37000002,2017,1941000.0
2018,E37000003,2017,1739000.0
2018,E37000004,2017,4322000.0
2018,E37000005,2017,11000.0
2018,E37000006,2017,17000000.0
2018,E37000007,2017,6691000.0
2018,E37000008,2017,19624000.0
2018,E37000009,2017,4107000.0
2018,E37000010,2017,4432000.0
2018,E37000011,2017,1142000.0
2018,E37000012,2017,14570000.0
2018,E37000014,2017,6538000.0
2018,E37000015,2017,30619000.0
2018,E37000016,2017,3275000.0
2018,E37000017,2017,3158000.0
2018,E37000018,2017,1060000.0
2018,E37000019,2017,14897000.0
2018,E37000020,2017,21964000.0
2018,E37000021,2017,13975000.0
2018,E37000022,2017,7755000.0
2018,E37000023,2017,212488000.0
2018,E37000024,2017,5481000.0
2018,E37000025,2017,13071000.0
2018,E37000027,2017,27753000.0
2018,E37000029,2017,26970000.0
2018,E37000030,2017,27965000.0
2018,E37000032,2017,6431000.0
2018,E37000034,2017,5560000.0
2018,E37000035,2017,11539000.0
2018,E37000036,2017,1123000.0
2018,E37000037,2017,14013000.0
2018,E37000038,2017,519000.0
2018,E37000039,2017,9093000.0
2018,E37000040,2017,5356000.0
2018,E37000041,2017,51478000.0
2018,E37000042,2017,21522000.0
