year,nuts_id,nuts_year_spec,contract_research_non_sme
2014,UKC1,2013,3640000.0
2014,UKC2,2013,7029000.0
2014,UKD1,2013,6000.0
2014,UKD3,2013,26074000.0
2014,UKD4,2013,1311000.0
2014,UKD6,2013,476000.0
2014,UKD7,2013,7369000.0
2014,UKE1,2013,1949000.0
2014,UKE2,2013,2462000.0
2014,UKE3,2013,15155000.0
2014,UKE4,2013,14045000.0
2014,UKF1,2013,15328000.0
2014,UKF2,2013,11136000.0
2014,UKF3,2013,438000.0
2014,UKG1,2013,128000.0
2014,UKG2,2013,1903000.0
2014,UKG3,2013,21581000.0
2014,UKH1,2013,25007000.0
2014,UKH2,2013,10131000.0
2014,UKH3,2013,352000.0
2014,UKI3,2013,105276000.0
2014,UKI4,2013,7834000.0
2014,UKI5,2013,856000.0
2014,UKI6,2013,165000.0
2014,UKI7,2013,680000.0
2014,UKJ1,2013,55972000.0
2014,UKJ2,2013,7065000.0
2014,UKJ3,2013,7877000.0
2014,UKJ4,2013,105000.0
2014,UKK1,2013,13980000.0
2014,UKK2,2013,215000.0
2014,UKK3,2013,16000.0
2014,UKK4,2013,2783000.0
2014,UKL1,2013,4305000.0
2014,UKL2,2013,4801000.0
2014,UKM2,2013,23665000.0
2014,UKM3,2013,24056000.0
2014,UKM5,2013,4016000.0
2014,UKM6,2013,135000.0
2014,UKN0,2013,5022000.0
2015,UKC1,2013,3417000.0
2015,UKC2,2013,7292000.0
2015,UKD1,2013,3000.0
2015,UKD3,2013,31040000.0
2015,UKD4,2013,1501000.0
2015,UKD6,2013,1087000.0
2015,UKD7,2013,7701000.0
2015,UKE1,2013,1805000.0
2015,UKE2,2013,2573000.0
2015,UKE3,2013,13953000.0
2015,UKE4,2013,12588000.0
2015,UKF1,2013,14110000.0
2015,UKF2,2013,9994000.0
2015,UKF3,2013,541000.0
2015,UKG1,2013,15000.0
2015,UKG2,2013,1959000.0
2015,UKG3,2013,23718000.0
2015,UKH1,2013,24584000.0
2015,UKH2,2013,8413000.0
2015,UKH3,2013,597000.0
2015,UKI3,2013,107063000.0
2015,UKI4,2013,9235000.0
2015,UKI5,2013,661000.0
2015,UKI6,2013,151000.0
2015,UKI7,2013,925000.0
2015,UKJ1,2013,68685000.0
2015,UKJ2,2013,7724000.0
2015,UKJ3,2013,9147000.0
2015,UKJ4,2013,104000.0
2015,UKK1,2013,15408000.0
2015,UKK2,2013,107000.0
2015,UKK3,2013,0.0
2015,UKK4,2013,2259000.0
2015,UKL1,2013,3790000.0
2015,UKL2,2013,4649000.0
2015,UKM2,2013,23656000.0
2015,UKM3,2013,24997000.0
2015,UKM5,2013,4389000.0
2015,UKM6,2013,78000.0
2015,UKN0,2013,4326000.0
2016,UKC1,2016,3946000.0
2016,UKC2,2016,6458000.0
2016,UKD1,2016,4000.0
2016,UKD3,2016,30537000.0
2016,UKD4,2016,1845000.0
2016,UKD6,2016,245000.0
2016,UKD7,2016,6686000.0
2016,UKE1,2016,1790000.0
2016,UKE2,2016,2146000.0
2016,UKE3,2016,18598000.0
2016,UKE4,2016,12727000.0
2016,UKF1,2016,15110000.0
2016,UKF2,2016,11543000.0
2016,UKF3,2016,1776000.0
2016,UKG1,2016,30000.0
2016,UKG2,2016,1967000.0
2016,UKG3,2016,27431000.0
2016,UKH1,2016,27767000.0
2016,UKH2,2016,8556000.0
2016,UKH3,2016,631000.0
2016,UKI3,2016,102534000.0
2016,UKI4,2016,10227000.0
2016,UKI5,2016,743000.0
2016,UKI6,2016,87000.0
2016,UKI7,2016,1157000.0
2016,UKJ1,2016,63038000.0
2016,UKJ2,2016,10201000.0
2016,UKJ3,2016,8229000.0
2016,UKJ4,2016,57000.0
2016,UKK1,2016,14512000.0
2016,UKK2,2016,215000.0
2016,UKK3,2016,0.0
2016,UKK4,2016,3182000.0
2016,UKL1,2016,4090000.0
2016,UKL2,2016,4815000.0
2016,UKM5,2016,4303000.0
2016,UKM6,2016,83000.0
2016,UKM7,2016,20293000.0
2016,UKM8,2016,18630000.0
2016,UKN0,2016,4779000.0
2017,UKC1,2016,4223000.0
2017,UKC2,2016,6544000.0
2017,UKD1,2016,0.0
2017,UKD3,2016,42546000.0
2017,UKD4,2016,1759000.0
2017,UKD6,2016,2185000.0
2017,UKD7,2016,6911000.0
2017,UKE1,2016,1525000.0
2017,UKE2,2016,2246000.0
2017,UKE3,2016,21151000.0
2017,UKE4,2016,12912000.0
2017,UKF1,2016,19013000.0
2017,UKF2,2016,12887000.0
2017,UKF3,2016,329000.0
2017,UKG1,2016,33000.0
2017,UKG2,2016,984000.0
2017,UKG3,2016,33690000.0
2017,UKH1,2016,26603000.0
2017,UKH2,2016,8071000.0
2017,UKH3,2016,746000.0
2017,UKI3,2016,101640000.0
2017,UKI4,2016,9516000.0
2017,UKI5,2016,889000.0
2017,UKI6,2016,92000.0
2017,UKI7,2016,1189000.0
2017,UKJ1,2016,68134000.0
2017,UKJ2,2016,8716000.0
2017,UKJ3,2016,10114000.0
2017,UKJ4,2016,53000.0
2017,UKK1,2016,15429000.0
2017,UKK2,2016,215000.0
2017,UKK3,2016,0.0
2017,UKK4,2016,3755000.0
2017,UKL1,2016,4183000.0
2017,UKL2,2016,4264000.0
2017,UKM5,2016,3617000.0
2017,UKM6,2016,25000.0
2017,UKM7,2016,25226000.0
2017,UKM8,2016,27216000.0
2017,UKN0,2016,4468000.0
2018,UKC1,2016,3778000.0
2018,UKC2,2016,6544000.0
2018,UKD1,2016,0.0
2018,UKD3,2016,25060000.0
2018,UKD4,2016,1980000.0
2018,UKD6,2016,1670000.0
2018,UKD7,2016,6045000.0
2018,UKE1,2016,1583000.0
2018,UKE2,2016,2957000.0
2018,UKE3,2016,24722000.0
2018,UKE4,2016,11253000.0
2018,UKF1,2016,19339000.0
2018,UKF2,2016,13811000.0
2018,UKF3,2016,402000.0
2018,UKG1,2016,28000.0
2018,UKG2,2016,1138000.0
2018,UKG3,2016,31725000.0
2018,UKH1,2016,32078000.0
2018,UKH2,2016,10003000.0
2018,UKH3,2016,670000.0
2018,UKI3,2016,109069000.0
2018,UKI4,2016,8101000.0
2018,UKI5,2016,733000.0
2018,UKI6,2016,316000.0
2018,UKI7,2016,1169000.0
2018,UKJ1,2016,80134000.0
2018,UKJ2,2016,9128000.0
2018,UKJ3,2016,9569000.0
2018,UKJ4,2016,185000.0
2018,UKK1,2016,19097000.0
2018,UKK2,2016,162000.0
2018,UKK3,2016,35000.0
2018,UKK4,2016,4183000.0
2018,UKL1,2016,6843000.0
2018,UKL2,2016,8182000.0
2018,UKM5,2016,3499000.0
2018,UKM6,2016,29000.0
2018,UKM7,2016,27362000.0
2018,UKM8,2016,28873000.0
2018,UKN0,2016,7324000.0
