year,lep_id,lep_year_spec,spinoff_investment
2014,E37000001,2014,1319000.0
2014,E37000002,2014,0.0
2014,E37000003,2014,0.0
2014,E37000004,2014,160000.0
2014,E37000005,2014,0.0
2014,E37000006,2014,19009000.0
2014,E37000007,2014,5000.0
2014,E37000008,2014,5518000.0
2014,E37000009,2014,0.0
2014,E37000010,2014,2770000.0
2014,E37000011,2014,4000.0
2014,E37000012,2014,29538000.0
2014,E37000013,2014,23749000.0
2014,E37000014,2014,135000.0
2014,E37000015,2014,55895000.0
2014,E37000016,2014,10000.0
2014,E37000017,2014,43000.0
2014,E37000018,2014,65000.0
2014,E37000019,2014,7159000.0
2014,E37000020,2014,52492000.0
2014,E37000021,2014,3362000.0
2014,E37000022,2014,470000.0
2014,E37000023,2014,436556000.0
2014,E37000024,2014,5754000.0
2014,E37000025,2014,24573000.0
2014,E37000026,2014,58000.0
2014,E37000027,2014,101135000.0
2014,E37000029,2014,7659000.0
2014,E37000030,2014,3500000.0
2014,E37000031,2014,1705000.0
2014,E37000032,2014,89000.0
2014,E37000034,2014,0.0
2014,E37000035,2014,0.0
2014,E37000036,2014,0.0
2014,E37000037,2014,55307000.0
2014,E37000038,2014,0.0
2014,E37000039,2014,175000.0
2014,E37000040,2014,0.0
2015,E37000001,2014,0.0
2015,E37000002,2014,0.0
2015,E37000003,2014,0.0
2015,E37000004,2014,4140000.0
2015,E37000005,2014,45000.0
2015,E37000006,2014,11109000.0
2015,E37000007,2014,46000.0
2015,E37000008,2014,24650000.0
2015,E37000009,2014,0.0
2015,E37000010,2014,1245000.0
2015,E37000011,2014,10000.0
2015,E37000012,2014,17991000.0
2015,E37000013,2014,39143000.0
2015,E37000014,2014,83000.0
2015,E37000015,2014,63675000.0
2015,E37000016,2014,2021000.0
2015,E37000017,2014,440000.0
2015,E37000018,2014,433000.0
2015,E37000019,2014,8005000.0
2015,E37000020,2014,71418000.0
2015,E37000021,2014,34522000.0
2015,E37000022,2014,475000.0
2015,E37000023,2014,334772000.0
2015,E37000024,2014,3911000.0
2015,E37000025,2014,17209000.0
2015,E37000026,2014,965000.0
2015,E37000027,2014,220165000.0
2015,E37000029,2014,19271000.0
2015,E37000030,2014,1870000.0
2015,E37000031,2014,2619000.0
2015,E37000032,2014,289000.0
2015,E37000034,2014,0.0
2015,E37000035,2014,180000.0
2015,E37000036,2014,0.0
2015,E37000037,2014,38038000.0
2015,E37000038,2014,0.0
2015,E37000039,2014,50000.0
2015,E37000040,2014,0.0
2016,E37000001,2014,0.0
2016,E37000002,2014,0.0
2016,E37000003,2014,0.0
2016,E37000004,2014,7839000.0
2016,E37000005,2014,345000.0
2016,E37000006,2014,9700000.0
2016,E37000007,2014,0.0
2016,E37000008,2014,10232000.0
2016,E37000009,2014,0.0
2016,E37000010,2014,1717000.0
2016,E37000011,2014,1605000.0
2016,E37000012,2014,11518000.0
2016,E37000013,2014,29907000.0
2016,E37000014,2014,24000.0
2016,E37000015,2014,46765000.0
2016,E37000016,2014,3921000.0
2016,E37000017,2014,100000.0
2016,E37000018,2014,0.0
2016,E37000019,2014,2668000.0
2016,E37000020,2014,60836000.0
2016,E37000021,2014,416000.0
2016,E37000022,2014,275000.0
2016,E37000023,2014,301401000.0
2016,E37000024,2014,5036000.0
2016,E37000025,2014,30446000.0
2016,E37000026,2014,4415000.0
2016,E37000027,2014,441398000.0
2016,E37000029,2014,18965000.0
2016,E37000030,2014,4847000.0
2016,E37000031,2014,6060000.0
2016,E37000032,2014,43000.0
2016,E37000034,2014,145000.0
2016,E37000035,2014,0.0
2016,E37000036,2014,0.0
2016,E37000037,2014,45829000.0
2016,E37000038,2014,0.0
2016,E37000039,2014,1123000.0
2016,E37000040,2014,0.0
2017,E37000001,2017,170000.0
2017,E37000002,2017,0.0
2017,E37000003,2017,0.0
2017,E37000004,2017,33858000.0
2017,E37000005,2017,17000.0
2017,E37000006,2017,30763000.0
2017,E37000007,2017,8000.0
2017,E37000008,2017,36003000.0
2017,E37000009,2017,0.0
2017,E37000010,2017,2274000.0
2017,E37000011,2017,20000.0
2017,E37000012,2017,20348000.0
2017,E37000014,2017,86000.0
2017,E37000015,2017,33151000.0
2017,E37000016,2017,8496000.0
2017,E37000017,2017,314000.0
2017,E37000018,2017,0.0
2017,E37000019,2017,2540000.0
2017,E37000020,2017,87675000.0
2017,E37000021,2017,1697000.0
2017,E37000022,2017,95000.0
2017,E37000023,2017,598973000.0
2017,E37000024,2017,8278000.0
2017,E37000025,2017,34062000.0
2017,E37000027,2017,472698000.0
2017,E37000029,2017,17250000.0
2017,E37000030,2017,767000.0
2017,E37000032,2017,23000.0
2017,E37000034,2017,5530000.0
2017,E37000035,2017,1000000.0
2017,E37000036,2017,0.0
2017,E37000037,2017,65339000.0
2017,E37000038,2017,0.0
2017,E37000039,2017,275000.0
2017,E37000040,2017,117696000.0
2017,E37000041,2017,2137000.0
2017,E37000042,2017,2636000.0
2018,E37000001,2017,40000.0
2018,E37000002,2017,0.0
2018,E37000003,2017,0.0
2018,E37000004,2017,1244000.0
2018,E37000005,2017,370000.0
2018,E37000006,2017,11428000.0
2018,E37000007,2017,0.0
2018,E37000008,2017,76256000.0
2018,E37000009,2017,0.0
2018,E37000010,2017,3742000.0
2018,E37000011,2017,25000.0
2018,E37000012,2017,29226000.0
2018,E37000014,2017,80000.0
2018,E37000015,2017,16100000.0
2018,E37000016,2017,7322000.0
2018,E37000017,2017,238000.0
2018,E37000018,2017,0.0
2018,E37000019,2017,7365000.0
2018,E37000020,2017,42185000.0
2018,E37000021,2017,2698000.0
2018,E37000022,2017,398000.0
2018,E37000023,2017,877000000.0
2018,E37000024,2017,7855000.0
2018,E37000025,2017,45101000.0
2018,E37000027,2017,581219000.0
2018,E37000029,2017,32069000.0
2018,E37000030,2017,11726000.0
2018,E37000032,2017,41000.0
2018,E37000034,2017,3338000.0
2018,E37000035,2017,0.0
2018,E37000036,2017,0.0
2018,E37000037,2017,87049000.0
2018,E37000038,2017,0.0
2018,E37000039,2017,346000.0
2018,E37000040,2017,121329000.0
2018,E37000041,2017,2801000.0
2018,E37000042,2017,155110000.0
